I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
50052736.000000,-0.055457,0.525830,0.047598,0.003196,0.002131,0.001065,-2.721964,-0.295456,9.387230,1.957000,9.778367,0.047598,0.000000,-0.023993,0.243738
50054736.000000,-0.055479,0.525838,0.047582,0.001065,0.004261,-0.004261,-2.733639,-0.352032,9.405190,2.004000,9.800731,0.047582,0.000000,-0.018067,0.243167
50056736.000000,-0.055500,0.525837,0.047569,-0.003196,0.001065,-0.004261,-2.725557,-0.308028,9.432132,2.004000,9.822864,0.047569,0.000000,-0.022854,0.244676
50058736.000000,-0.055497,0.525852,0.047583,0.002131,0.008522,0.007457,-2.725557,-0.308028,9.432132,2.004000,9.822864,0.047583,0.000000,-0.022851,0.244691
50060736.000000,-0.055500,0.525857,0.047587,0.001065,0.004261,0.003196,-2.711188,-0.301742,9.402496,2.051000,9.790226,0.047587,0.000000,-0.023419,0.245261
50062736.000000,-0.055506,0.525850,0.047585,-0.001065,-0.003196,-0.001065,-2.725557,-0.273903,9.380943,1.957000,9.772706,0.047585,0.000000,-0.026316,0.243207
50064736.000000,-0.055522,0.525844,0.047569,0.001065,-0.004261,-0.005326,-2.736333,-0.320601,9.354002,2.004000,9.751290,0.047569,0.000000,-0.021261,0.241412
50066736.000000,-0.055527,0.525835,0.047575,0.002131,-0.002131,0.004261,-2.702208,-0.332275,9.394414,2.005000,9.780969,0.047575,0.000000,-0.020173,0.245922
50068736.000000,-0.055526,0.525818,0.047577,0.006392,-0.006392,0.002131,-2.702208,-0.332275,9.394414,2.004000,9.780969,0.047577,0.000000,-0.020172,0.245905
50070736.000000,-0.055516,0.525792,0.047574,0.007457,-0.007457,-0.001065,-2.689635,-0.283781,9.441113,2.051000,9.820859,0.047574,0.000000,-0.025467,0.248378
50072736.000000,-0.055528,0.525784,0.047581,-0.003196,-0.004261,0.004261,-2.735435,-0.316111,9.424049,1.957000,9.818108,0.047581,0.000000,-0.021998,0.243436
50074736.000000,-0.055549,0.525787,0.047576,-0.008522,0.003196,-0.002131,-2.729149,-0.267616,9.441113,2.004000,9.831301,0.047576,0.000000,-0.027211,0.244494
50076736.000000,-0.055553,0.525782,0.047574,0.002131,0.001065,0.000000,-2.686941,-0.299048,9.395312,2.004000,9.776552,0.047574,0.000000,-0.023734,0.247363
50078736.000000,-0.055554,0.525769,0.047567,0.004261,-0.002131,-0.002131,-2.686941,-0.299048,9.395312,2.004000,9.776552,0.047567,0.000000,-0.023735,0.247351
50080736.000000,-0.055569,0.525778,0.047559,0.002131,0.002131,-0.001065,-2.766866,-0.349338,9.428540,2.051000,9.832342,0.047559,0.000000,-0.018535,0.240521
50082736.000000,-0.055572,0.525783,0.047558,0.002131,0.006392,0.001065,-2.713882,-0.310722,9.391720,0.955000,9.780905,0.047558,0.000000,-0.022499,0.244626
50084736.000000,-0.055567,0.525805,0.047561,0.004261,0.010653,0.002131,-2.697717,-0.298150,9.421355,3.006000,9.804514,0.047561,0.000000,-0.023932,0.247059
50086736.000000,-0.055556,0.525803,0.047576,0.005326,0.002131,0.007457,-2.697717,-0.298150,9.421355,2.005000,9.804514,0.047576,0.000000,-0.023920,0.247056
50088736.000000,-0.055541,0.525793,0.047584,0.007457,-0.001065,0.004261,-2.691431,-0.286475,9.420458,2.004000,9.801576,0.047584,0.000000,-0.025140,0.247628
50090736.000000,-0.055538,0.525791,0.047573,0.006392,0.002131,-0.004261,-2.690533,-0.284679,9.367473,2.051000,9.750361,0.047573,0.000000,-0.025157,0.246221
50092748.000000,-0.055551,0.525792,0.047548,0.004261,0.002131,-0.009587,-2.713882,-0.311620,9.389026,1.957000,9.778347,0.047548,0.000000,-0.022373,0.244559
50094748.000000,-0.055555,0.525779,0.047550,0.002131,0.000000,0.002131,-2.654611,-0.317009,9.368371,2.004000,9.742373,0.047550,0.000000,-0.021730,0.249809
50096748.000000,-0.055544,0.525783,0.047576,0.003196,0.005326,0.012783,-2.692329,-0.311620,9.438418,2.004000,9.819852,0.047576,0.000000,-0.022540,0.248054
50098752.000000,-0.055538,0.525787,0.047590,0.004261,0.006392,0.007457,-2.692329,-0.311620,9.438418,2.004000,9.819852,0.047590,0.000000,-0.022533,0.248059
50100768.000000,-0.055532,0.525788,0.047600,0.000000,0.001065,0.004261,-2.728251,-0.260432,9.426744,2.052000,9.817060,0.047600,0.000000,-0.027912,0.244171
50102752.000000,-0.055535,0.525800,0.047602,0.001065,0.006392,0.002131,-2.734537,-0.293660,9.419559,1.956000,9.812850,0.047602,0.000000,-0.024369,0.243392
50104752.000000,-0.055523,0.525801,0.047604,0.010653,-0.002131,0.002131,-2.774051,-0.324193,9.455482,2.004000,9.859340,0.047604,0.000000,-0.021250,0.240587
50106748.000000,-0.055519,0.525792,0.047596,0.008522,-0.004261,-0.002131,-2.738129,-0.315213,9.415967,2.005000,9.811072,0.047596,0.000000,-0.022056,0.242950
50108736.000000,-0.055524,0.525795,0.047598,0.002131,0.001065,0.002131,-2.738129,-0.315213,9.415967,2.016000,9.811072,0.047598,0.000000,-0.022060,0.242953
50110752.000000,-0.055522,0.525788,0.047596,0.004261,0.002131,0.000000,-2.676164,-0.296354,9.418661,2.039000,9.795961,0.047596,0.000000,-0.024068,0.249080
50112736.000000,-0.055519,0.525786,0.047602,-0.002131,0.002131,0.002131,-2.697717,-0.237083,9.406987,1.957000,9.789040,0.047602,0.000000,-0.030322,0.246587
50114736.000000,-0.055549,0.525783,0.047588,-0.005326,-0.002131,-0.004261,-2.733639,-0.328683,9.375555,2.004000,9.771482,0.047588,0.000000,-0.020506,0.242242
50116756.000000,-0.055536,0.525790,0.047608,0.005326,0.000000,0.009587,-2.761478,-0.301742,9.381842,2.004000,9.784466,0.047608,0.000000,-0.023384,0.239671
50118744.000000,-0.055517,0.525814,0.047616,0.010653,0.008522,0.005326,-2.761478,-0.301742,9.381842,2.004000,9.784466,0.047616,0.000000,-0.023366,0.239695
50120752.000000,-0.055514,0.525814,0.047609,0.002131,0.003196,-0.003196,-2.703105,-0.250554,9.411477,2.051000,9.795175,0.047609,0.000000,-0.028899,0.246223
50122752.000000,-0.055525,0.525815,0.047603,-0.001065,0.000000,-0.002131,-2.732741,-0.291864,9.383637,1.960000,9.777817,0.047603,0.000000,-0.024432,0.242559
50124752.000000,-0.055522,0.525826,0.047614,0.003196,0.007457,0.006392,-2.708494,-0.310722,9.418661,2.002000,9.805287,0.047614,0.000000,-0.022544,0.245958
