I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
40828788.000000,0.123886,0.362627,2.078791,-0.908671,-0.054328,3.024286,-3.694544,1.221337,9.314488,2.003000,10.094604,2.078743,0.000000,-0.006492,-0.012071
40830788.000000,0.124041,0.362046,2.085176,-0.924650,-0.055394,3.023221,-3.183558,-0.760641,9.177088,2.005000,9.743334,2.085127,0.000000,0.206737,0.029192
40832788.000000,0.124089,0.361762,2.088372,-0.909736,-0.061785,3.009372,-3.276954,-1.129736,9.028013,1.011000,9.670561,2.088324,0.000000,0.248579,0.016059
40834788.000000,0.124928,0.360946,2.097888,-0.866060,-0.053263,2.984871,-3.402680,0.836077,9.308202,2.998000,9.945848,2.097840,0.000000,0.035347,0.011774
40836788.000000,0.125248,0.360377,2.104252,-0.901214,-0.055394,3.004046,-3.264382,-0.051188,9.187864,2.004000,9.750674,2.104203,0.000000,0.130819,0.019000
40838788.000000,0.125526,0.359817,2.110601,-0.918258,-0.051133,2.998719,-3.264382,-0.051188,9.187864,2.003000,9.750674,2.110553,0.000000,0.131097,0.018440
40840788.000000,0.125595,0.359321,2.116828,-0.880974,-0.055394,2.961435,-3.502363,-1.289588,8.920248,2.004000,9.669560,2.116780,0.000000,0.269169,-0.011312
40842788.000000,0.125804,0.359026,2.119953,-0.859668,-0.055394,2.946522,-3.197927,0.292762,9.508466,1.002000,10.036103,2.119904,0.000000,0.095024,0.034729
40844788.000000,0.126512,0.358186,2.129425,-0.871386,-0.044741,2.969957,-3.269770,0.609770,9.411477,3.007000,9.981939,2.129376,0.000000,0.061812,0.024457
40846788.000000,0.126618,0.357729,2.135712,-0.900148,-0.055394,2.983806,-3.865171,-0.984254,9.111531,2.004000,9.946271,2.135663,0.000000,0.234224,-0.041388
40848788.000000,0.126720,0.357269,2.141921,-0.887365,-0.061785,2.948652,-3.865171,-0.984254,9.111531,2.004000,9.946271,2.141873,0.000000,0.234325,-0.041848
40850788.000000,0.126872,0.356980,2.145022,-0.868191,-0.062851,2.933738,-3.228460,-0.066455,9.194151,1.002000,9.744731,2.144974,0.000000,0.134099,0.019295
40852788.000000,0.127435,0.356314,2.151306,-0.859668,-0.053263,2.953978,-2.792910,1.092019,9.407885,2.004000,9.874267,2.151257,0.000000,0.011878,0.069553
